CUSTOMER_REVIEW,CELEBRITY_REACH,COMPETETION,INNOVATION,QUALITY,TRANSPARENCY,COMMUNICATION,TARGET_GROUP,FREQUENT_REMINDERS,IMPACT_RATE,DESCISION_MAKING
2,1,6,9,8,4,5,72,5,53.501,1
7,1,46,5,10,2,1,72,5,59.94325,1
5,2,13,2,1,1,4,6,4,15.47125,0
9,2,38,5,9,1,1,74,5,53.71175,1
2,2,92,7,9,5,2,61,4,82.202,1
9,0,8,1,5,5,5,56,5,44.29875,0
6,1,35,10,8,1,4,78,5,62.5695,1
6,2,16,4,3,1,6,64,1,47.69525,0
10,1,67,6,7,3,2,83,4,74.66075,1
4,0,67,10,7,5,2,9,2,40.8905,0
5,2,22,4,5,3,6,60,3,52.6105,1
7,2,85,1,1,1,5,69,2,81.777,1
6,1,17,7,8,4,2,97,2,60.16925,1
7,1,66,6,5,3,6,43,1,62.03425,1
2,2,59,3,3,4,4,59,3,68.65325,1
1,1,69,1,9,2,3,7,2,45.34225,0
4,1,37,5,6,1,3,36,1,39.41375,0
2,2,73,1,2,1,2,30,3,54.321,1
4,1,12,4,9,5,5,64,2,50.6785,1
5,2,52,8,10,3,1,11,4,30.98475,0
7,1,71,9,2,1,5,20,2,48.3665,0
4,0,29,1,3,5,3,37,5,43.96275,0
6,0,21,2,6,4,1,98,2,62.66325,1
7,2,9,7,6,1,1,18,1,8.35325,0
10,2,71,9,7,3,1,71,4,66.31425,1
3,2,66,9,2,5,4,38,1,57.5065,1
3,1,13,5,5,5,5,61,2,49.57325,0
7,0,37,5,1,4,5,11,1,30.905,0
7,2,19,3,9,2,3,67,3,46.7515,0
3,2,81,10,3,2,6,21,1,57.89725,1
1,1,89,5,2,2,4,87,5,98.6005,1
5,2,11,3,8,4,6,67,1,50.82575,1
7,1,14,8,10,2,5,19,2,22.6675,0
5,2,48,9,7,2,2,89,5,70.88175,1
8,0,50,4,2,3,6,69,5,71.317,1
2,0,34,2,3,1,3,36,3,42.65575,0
4,1,92,7,6,5,4,1,2,52.929,1
10,2,87,10,4,3,3,27,5,55.68075,1
10,2,94,7,4,5,5,41,3,71.43625,1
1,1,54,7,8,2,5,70,3,73.84575,1
2,0,31,7,6,3,5,65,5,62.433,1
1,2,52,5,10,2,2,81,2,71.1835,1
6,2,56,8,1,2,5,54,1,58.72225,1
4,2,9,6,1,3,5,29,3,27.852,0
2,2,69,7,5,1,1,14,4,41.28625,0
1,1,61,9,10,5,5,18,1,50.5985,1
8,1,56,3,3,2,2,74,1,63.67325,1
8,2,62,9,3,4,2,36,5,48.708,0
4,1,24,2,2,2,6,39,5,45.55025,0
4,1,66,9,5,3,5,100,5,93.94025,1
3,2,11,8,2,2,5,45,2,35.878,0
1,1,86,1,2,2,1,74,3,83.58475,1
7,2,18,6,8,2,4,19,5,24.16725,0
1,2,82,3,5,4,4,32,5,68.36875,1
4,2,77,1,8,2,3,73,4,81.321,1
3,1,98,3,10,1,5,15,1,64.09075,1
6,2,74,7,3,4,6,13,3,51.9515,1
4,2,20,8,5,1,3,87,5,58.74575,1
10,1,81,1,10,4,6,17,1,56.30825,1
8,0,56,2,1,1,3,1,4,30.77575,0
2,2,65,5,3,3,5,61,2,72.59875,1
2,0,60,2,7,1,1,89,4,79.44175,1
2,2,99,1,1,2,1,20,2,59.23475,1
4,1,2,6,3,5,5,15,3,19.9485,0
4,0,51,3,2,1,4,16,3,40.58,0
3,0,3,10,9,2,2,32,2,21.01725,0
2,0,44,1,2,2,1,10,5,32.13925,0
1,0,14,2,7,4,5,91,1,67.801,1
7,2,22,4,3,3,2,10,2,15.4015,0
4,1,78,3,1,1,2,77,2,78.78325,1
9,1,45,3,5,3,1,52,1,45.05275,0
7,2,76,5,1,4,3,57,2,67.85975,1
5,0,75,8,1,5,5,57,5,77.42025,1
10,0,25,2,3,5,6,70,2,58.099,1
4,1,16,6,9,2,5,90,2,63.2125,1
5,0,10,4,4,2,5,95,1,62.23475,1
